Src,Dst,Total,TCP,UDP,ICMP,othProto,ARP,others
70:6e:6d:1d:bb:04,01:00:0c:cc:cc:cc,553,0.0,0.0,0.0,0.0,0.0,553.0
70:6e:6d:1d:bb:0a,01:00:0c:cc:cc:cc,561,0.0,0.0,0.0,0.0,0.0,561.0
70:6e:6d:1d:bb:08,01:00:0c:cc:cc:cc,550,0.0,0.0,0.0,0.0,0.0,550.0
70:6e:6d:1d:bb:05,01:00:0c:cc:cc:cc,554,0.0,0.0,0.0,0.0,0.0,554.0
70:6e:6d:1d:bb:11,01:00:0c:cc:cc:cc,538,0.0,0.0,0.0,0.0,0.0,538.0
192.168.10.50,192.168.10.3,28796,20106.0,8558.0,0.0,132.0,0.0,0.0
192.168.10.3,192.168.10.50,19572,11014.0,8558.0,0.0,0.0,0.0,0.0
b8:ac:6f:36:08:f5,33:33:00:01:00:02,6201,0.0,0.0,0.0,0.0,0.0,6201.0
70:6e:6d:1d:bb:03,01:00:0c:cc:cc:cc,559,0.0,0.0,0.0,0.0,0.0,559.0
70:6e:6d:1d:bb:0f,01:00:0c:cc:cc:cc,536,0.0,0.0,0.0,0.0,0.0,536.0
70:6e:6d:1d:bb:0c,01:00:0c:cc:cc:cc,554,0.0,0.0,0.0,0.0,0.0,554.0
70:6e:6d:1d:bb:09,01:00:0c:cc:cc:cc,554,0.0,0.0,0.0,0.0,0.0,554.0
70:6e:6d:1d:bb:02,01:00:0c:cc:cc:cc,548,0.0,0.0,0.0,0.0,0.0,548.0
70:6e:6d:1d:bb:06,01:00:0c:cc:cc:cc,556,0.0,0.0,0.0,0.0,0.0,556.0
b8:ac:6f:1d:1f:6c,ff:ff:ff:ff:ff:ff,4329,0.0,0.0,0.0,0.0,4329.0,0.0
b8:ac:6f:36:07:ee,33:33:00:00:00:16,89,0.0,0.0,0.0,0.0,0.0,89.0
192.168.10.9,224.0.0.22,4,0.0,0.0,0.0,4.0,0.0,0.0
192.168.10.9,224.0.0.252,122,0.0,122.0,0.0,0.0,0.0,0.0
b8:ac:6f:36:07:ee,ff:ff:ff:ff:ff:ff,93,0.0,0.0,0.0,0.0,93.0,0.0
b8:ac:6f:36:07:ee,33:33:00:00:00:01,11,0.0,0.0,0.0,0.0,0.0,11.0
18:66:da:9b:e3:7d,b8:ac:6f:1d:1f:6c,1234,0.0,0.0,0.0,0.0,1234.0,0.0
192.168.10.9,192.168.10.3,34219,2159.0,32060.0,0.0,0.0,0.0,0.0
192.168.10.3,192.168.10.9,33597,1761.0,31836.0,0.0,0.0,0.0,0.0
00:c1:b1:14:eb:31,b8:ac:6f:1d:1f:6c,282,0.0,0.0,0.0,0.0,282.0,0.0
b8:ac:6f:36:0a:8b,ff:ff:ff:ff:ff:ff,4175,0.0,0.0,0.0,0.0,4175.0,0.0
b8:ac:6f:36:07:ee,33:33:00:00:00:02,23,0.0,0.0,0.0,0.0,0.0,23.0
70:6e:6d:1d:bb:0d,01:00:0c:cc:cc:cc,558,0.0,0.0,0.0,0.0,0.0,558.0
00:25:00:a8:c4:60,ff:ff:ff:ff:ff:ff,472,0.0,0.0,0.0,0.0,472.0,0.0
00:c1:b1:14:eb:31,00:25:00:a8:c4:60,26,0.0,0.0,0.0,0.0,26.0,0.0
192.168.10.25,224.0.0.251,750,0.0,748.0,0.0,2.0,0.0,0.0
18:66:da:9b:e3:7d,00:25:00:a8:c4:60,184,0.0,0.0,0.0,0.0,184.0,0.0
192.168.10.25,192.168.10.3,10764,6556.0,4206.0,2.0,0.0,0.0,0.0
192.168.10.3,192.168.10.25,8091,3885.0,4206.0,0.0,0.0,0.0,0.0
192.168.10.25,192.168.10.255,4440,0.0,4440.0,0.0,0.0,0.0,0.0
192.168.10.50,192.168.10.255,1708,0.0,1708.0,0.0,0.0,0.0,0.0
192.168.10.3,192.168.10.1,61171,0.0,61171.0,0.0,0.0,0.0,0.0
192.168.10.1,192.168.10.3,61171,0.0,61165.0,6.0,0.0,0.0,0.0
192.168.10.25,17.253.14.125,453,0.0,453.0,0.0,0.0,0.0,0.0
17.253.14.125,192.168.10.25,453,0.0,453.0,0.0,0.0,0.0,0.0
192.168.10.25,17.253.14.253,4,0.0,4.0,0.0,0.0,0.0,0.0
17.253.14.253,192.168.10.25,4,0.0,4.0,0.0,0.0,0.0,0.0
192.168.10.25,17.253.20.125,4,0.0,4.0,0.0,0.0,0.0,0.0
17.253.20.125,192.168.10.25,4,0.0,4.0,0.0,0.0,0.0,0.0
192.168.10.25,17.253.20.253,4,0.0,4.0,0.0,0.0,0.0,0.0
17.253.20.253,192.168.10.25,4,0.0,4.0,0.0,0.0,0.0,0.0
192.168.10.25,17.253.24.125,4,0.0,4.0,0.0,0.0,0.0,0.0
17.253.24.125,192.168.10.25,4,0.0,4.0,0.0,0.0,0.0,0.0
b8:ac:6f:36:07:ee,33:33:00:01:00:02,6985,0.0,0.0,0.0,0.0,0.0,6985.0
192.168.10.14,224.0.0.22,7,0.0,0.0,0.0,7.0,0.0,0.0
b8:ac:6f:36:07:ee,33:33:00:01:00:03,165,0.0,0.0,0.0,0.0,0.0,165.0
192.168.10.14,224.0.0.252,165,0.0,165.0,0.0,0.0,0.0,0.0
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,788,0.0,0.0,0.0,0.0,788.0,0.0
00:25:00:a8:c4:60,18:66:da:9b:e3:7d,170,0.0,0.0,0.0,0.0,170.0,0.0
00:c1:b1:14:eb:31,18:66:da:9b:e3:7d,788,0.0,0.0,0.0,0.0,788.0,0.0
18:66:da:9b:e3:7d,b8:ac:6f:36:07:ee,1494,0.0,0.0,0.0,0.0,1494.0,0.0
192.168.10.14,192.168.10.3,38416,3452.0,34956.0,8.0,0.0,0.0,0.0
00:c1:b1:14:eb:31,b8:ac:6f:36:07:ee,133,0.0,0.0,0.0,0.0,133.0,0.0
