Src,Dst,Total,TCP,UDP,ICMP,othProto,ARP,others
8.254.250.126,192.168.10.5,8,8.0,0.0,0.0,0.0,0.0,0.0
70:6e:6d:1d:bb:04,01:00:0c:cc:cc:cc,556,0.0,0.0,0.0,0.0,0.0,556.0
70:6e:6d:1d:bb:06,01:00:0c:cc:cc:cc,550,0.0,0.0,0.0,0.0,0.0,550.0
70:6e:6d:1d:bb:0c,01:00:0c:cc:cc:cc,557,0.0,0.0,0.0,0.0,0.0,557.0
70:6e:6d:1d:bb:08,01:00:0c:cc:cc:cc,554,0.0,0.0,0.0,0.0,0.0,554.0
8.253.185.121,192.168.10.14,9,9.0,0.0,0.0,0.0,0.0,0.0
70:6e:6d:1d:bb:05,01:00:0c:cc:cc:cc,567,0.0,0.0,0.0,0.0,0.0,567.0
70:6e:6d:1d:bb:11,01:00:0c:cc:cc:cc,592,0.0,0.0,0.0,0.0,0.0,592.0
70:6e:6d:1d:bb:0a,01:00:0c:cc:cc:cc,564,0.0,0.0,0.0,0.0,0.0,564.0
b8:ac:6f:1d:1f:6c,ff:ff:ff:ff:ff:ff,4052,0.0,0.0,0.0,0.0,4052.0,0.0
192.168.10.9,224.0.0.22,4,0.0,0.0,0.0,4.0,0.0,0.0
192.168.10.9,224.0.0.252,106,0.0,106.0,0.0,0.0,0.0,0.0
18:66:da:9b:e3:7d,b8:ac:6f:1d:1f:6c,1034,0.0,0.0,0.0,0.0,1034.0,0.0
192.168.10.9,192.168.10.3,42052,2148.0,39902.0,2.0,0.0,0.0,0.0
192.168.10.3,192.168.10.9,41364,1766.0,39598.0,0.0,0.0,0.0,0.0
00:c1:b1:14:eb:31,b8:ac:6f:1d:1f:6c,242,0.0,0.0,0.0,0.0,242.0,0.0
192.168.10.3,192.168.10.1,77308,0.0,77308.0,0.0,0.0,0.0,0.0
192.168.10.1,192.168.10.3,77308,0.0,77305.0,3.0,0.0,0.0,0.0
18:66:da:9b:e3:7d,33:33:00:01:00:03,551,0.0,0.0,0.0,0.0,0.0,551.0
192.168.10.3,224.0.0.252,551,0.0,551.0,0.0,0.0,0.0,0.0
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,801,0.0,0.0,0.0,0.0,801.0,0.0
