Src,Dst,Total,TCP,UDP,ICMP,othProto,ARP,others
70:6e:6d:1d:bb:0f,01:00:0c:cc:cc:cc,539,0.0,0.0,0.0,0.0,0.0,539.0
192.168.10.50,192.168.10.3,3923,2753.0,1148.0,0.0,22.0,0.0,0.0
192.168.10.3,192.168.10.50,2794,1646.0,1148.0,0.0,0.0,0.0,0.0
70:6e:6d:1d:bb:06,01:00:0c:cc:cc:cc,567,0.0,0.0,0.0,0.0,0.0,567.0
70:6e:6d:1d:bb:11,01:00:0c:cc:cc:cc,541,0.0,0.0,0.0,0.0,0.0,541.0
00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,268,0.0,0.0,0.0,0.0,268.0,0.0
18:66:da:9b:e3:7d,00:19:b9:0a:69:f1,268,0.0,0.0,0.0,0.0,268.0,0.0
70:6e:6d:1d:bb:02,01:00:0c:cc:cc:cc,576,0.0,0.0,0.0,0.0,0.0,576.0
70:6e:6d:1d:bb:05,01:00:0c:cc:cc:cc,629,0.0,0.0,0.0,0.0,0.0,629.0
192.168.10.14,192.168.10.3,37433,2739.0,34694.0,0.0,0.0,0.0,0.0
192.168.10.3,192.168.10.14,29771,2389.0,27382.0,0.0,0.0,0.0,0.0
192.168.10.14,65.55.44.109,164,164.0,0.0,0.0,0.0,0.0,0.0
65.55.44.109,192.168.10.14,131,131.0,0.0,0.0,0.0,0.0,0.0
b8:ac:6f:36:07:ee,18:66:da:9b:e3:7d,1174,0.0,0.0,0.0,0.0,1174.0,0.0
18:66:da:9b:e3:7d,b8:ac:6f:36:07:ee,1174,0.0,0.0,0.0,0.0,1174.0,0.0
70:6e:6d:1d:bb:0a,01:00:0c:cc:cc:cc,577,0.0,0.0,0.0,0.0,0.0,577.0
70:6e:6d:1d:bb:03,01:00:0c:cc:cc:cc,576,0.0,0.0,0.0,0.0,0.0,576.0
70:6e:6d:1d:bb:08,01:00:0c:cc:cc:cc,548,0.0,0.0,0.0,0.0,0.0,548.0
70:6e:6d:1d:bb:04,01:00:0c:cc:cc:cc,565,0.0,0.0,0.0,0.0,0.0,565.0
192.168.10.50,129.6.15.29,2,0.0,2.0,0.0,0.0,0.0,0.0
129.6.15.29,192.168.10.50,2,0.0,2.0,0.0,0.0,0.0,0.0
00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,156,0.0,0.0,0.0,0.0,156.0,0.0
00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,156,0.0,0.0,0.0,0.0,156.0,0.0
70:6e:6d:1d:bb:07,01:00:0c:cc:cc:cc,562,0.0,0.0,0.0,0.0,0.0,562.0
b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,56,0.0,0.0,0.0,0.0,56.0,0.0
00:c1:b1:14:eb:31,b8:ac:6f:36:07:ee,56,0.0,0.0,0.0,0.0,56.0,0.0
192.168.10.19,224.0.0.251,387,0.0,387.0,0.0,0.0,0.0,0.0
00:23:ae:9b:ad:b3,33:33:ff:9b:ad:b3,10,0.0,0.0,0.0,0.0,0.0,10.0
00:23:ae:9b:ad:b3,33:33:00:00:00:16,50,0.0,0.0,0.0,0.0,0.0,50.0
00:23:ae:9b:ad:b3,33:33:00:00:00:02,27,0.0,0.0,0.0,0.0,0.0,27.0
00:23:ae:9b:ad:b3,33:33:00:00:00:fb,326,0.0,0.0,0.0,0.0,0.0,326.0
00:23:ae:9b:ad:b3,ff:ff:ff:ff:ff:ff,69,0.0,0.0,0.0,0.0,69.0,0.0
18:66:da:9b:e3:7d,00:23:ae:9b:ad:b3,1042,0.0,0.0,0.0,0.0,1042.0,0.0
192.168.10.19,192.168.10.3,31461,1535.0,29838.0,88.0,0.0,0.0,0.0
192.168.10.3,192.168.10.1,61264,0.0,61264.0,0.0,0.0,0.0,0.0
192.168.10.1,192.168.10.3,61264,0.0,61258.0,6.0,0.0,0.0,0.0
192.168.10.3,192.168.10.19,31026,1196.0,29830.0,0.0,0.0,0.0,0.0
192.168.10.19,192.168.10.255,1805,0.0,1805.0,0.0,0.0,0.0,0.0
192.168.10.50,192.168.10.255,2323,0.0,2323.0,0.0,0.0,0.0,0.0
192.168.10.50,192.168.10.19,6578,6570.0,8.0,0.0,0.0,0.0,0.0
192.168.10.3,192.168.10.255,5840,0.0,5840.0,0.0,0.0,0.0,0.0
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,618,0.0,0.0,0.0,0.0,618.0,0.0
00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,1040,0.0,0.0,0.0,0.0,1040.0,0.0
00:c1:b1:14:eb:31,18:66:da:9b:e3:7d,618,0.0,0.0,0.0,0.0,618.0,0.0
00:19:b9:0a:69:f1,00:23:ae:9b:ad:b3,218,0.0,0.0,0.0,0.0,218.0,0.0
00:23:ae:9b:ad:b3,00:19:b9:0a:69:f1,218,0.0,0.0,0.0,0.0,218.0,0.0
00:c1:b1:14:eb:31,00:23:ae:9b:ad:b3,247,0.0,0.0,0.0,0.0,247.0,0.0
192.168.10.19,5.9.74.228,106,0.0,106.0,0.0,0.0,0.0,0.0
5.9.74.228,192.168.10.19,106,0.0,106.0,0.0,0.0,0.0,0.0
192.168.10.19,195.186.4.101,105,0.0,105.0,0.0,0.0,0.0,0.0
195.186.4.101,192.168.10.19,105,0.0,105.0,0.0,0.0,0.0,0.0
192.168.10.19,213.109.127.82,105,0.0,105.0,0.0,0.0,0.0,0.0
213.109.127.82,192.168.10.19,104,0.0,104.0,0.0,0.0,0.0,0.0
00:1e:4f:d4:ca:28,ff:ff:ff:ff:ff:ff,88,0.0,0.0,0.0,0.0,88.0,0.0
00:1e:4f:d4:ca:28,33:33:ff:f6:bd:7b,9,0.0,0.0,0.0,0.0,0.0,9.0
00:1e:4f:d4:ca:28,33:33:00:00:00:02,28,0.0,0.0,0.0,0.0,0.0,28.0
00:1e:4f:d4:ca:28,33:33:00:00:00:16,93,0.0,0.0,0.0,0.0,0.0,93.0
192.168.10.19,163.172.10.212,105,0.0,105.0,0.0,0.0,0.0,0.0
163.172.10.212,192.168.10.19,105,0.0,105.0,0.0,0.0,0.0,0.0
00:1e:4f:d4:ca:28,33:33:00:00:00:01,8,0.0,0.0,0.0,0.0,0.0,8.0
192.168.10.19,72.38.129.202,98,0.0,98.0,0.0,0.0,0.0,0.0
72.38.129.202,192.168.10.19,98,0.0,98.0,0.0,0.0,0.0,0.0
192.168.10.19,144.217.148.73,104,0.0,104.0,0.0,0.0,0.0,0.0
144.217.148.73,192.168.10.19,104,0.0,104.0,0.0,0.0,0.0,0.0
192.168.10.12,224.0.0.251,398,0.0,398.0,0.0,0.0,0.0,0.0
192.168.10.12,224.0.0.22,3,0.0,0.0,0.0,3.0,0.0,0.0
b8:ac:6f:36:04:e3,33:33:00:00:00:16,71,0.0,0.0,0.0,0.0,0.0,71.0
192.168.10.19,192.95.27.155,104,0.0,104.0,0.0,0.0,0.0,0.0
192.95.27.155,192.168.10.19,104,0.0,104.0,0.0,0.0,0.0,0.0
b8:ac:6f:36:04:e3,33:33:00:00:00:fb,353,0.0,0.0,0.0,0.0,0.0,353.0
b8:ac:6f:36:04:e3,ff:ff:ff:ff:ff:ff,30,0.0,0.0,0.0,0.0,30.0,0.0
18:66:da:9b:e3:7d,b8:ac:6f:36:04:e3,1310,0.0,0.0,0.0,0.0,1310.0,0.0
192.168.10.12,192.168.10.3,20509,1679.0,18779.0,12.0,39.0,0.0,0.0
192.168.10.3,192.168.10.12,20070,1310.0,18760.0,0.0,0.0,0.0,0.0
b8:ac:6f:36:04:e3,33:33:00:00:00:02,31,0.0,0.0,0.0,0.0,0.0,31.0
192.168.10.19,67.215.197.149,103,0.0,103.0,0.0,0.0,0.0,0.0
192.168.10.19,91.189.89.199,99,0.0,99.0,0.0,0.0,0.0,0.0
192.168.10.19,144.217.109.67,103,0.0,103.0,0.0,0.0,0.0,0.0
144.217.109.67,192.168.10.19,92,0.0,92.0,0.0,0.0,0.0,0.0
91.189.89.199,192.168.10.19,99,0.0,99.0,0.0,0.0,0.0,0.0
192.168.10.15,224.0.0.22,7,0.0,0.0,0.0,7.0,0.0,0.0
00:1e:4f:d4:ca:28,33:33:00:01:00:03,20,0.0,0.0,0.0,0.0,0.0,20.0
192.168.10.15,224.0.0.252,20,0.0,20.0,0.0,0.0,0.0,0.0
00:1e:4f:d4:ca:28,33:33:00:01:00:02,7002,0.0,0.0,0.0,0.0,0.0,7002.0
00:c1:b1:14:eb:31,b8:ac:6f:36:04:e3,155,0.0,0.0,0.0,0.0,155.0,0.0
192.168.10.12,195.186.4.101,17,0.0,17.0,0.0,0.0,0.0,0.0
195.186.4.101,192.168.10.12,17,0.0,17.0,0.0,0.0,0.0,0.0
18:66:da:9b:e3:7d,00:1e:4f:d4:ca:28,1286,0.0,0.0,0.0,0.0,1286.0,0.0
192.168.10.15,192.168.10.3,50021,3335.0,46682.0,4.0,0.0,0.0,0.0
00:c1:b1:14:eb:31,00:1e:4f:d4:ca:28,39,0.0,0.0,0.0,0.0,39.0,0.0
192.168.10.19,167.114.204.238,99,0.0,99.0,0.0,0.0,0.0,0.0
167.114.204.238,192.168.10.19,99,0.0,99.0,0.0,0.0,0.0,0.0
70:6e:6d:1d:bb:0c,01:00:0c:cc:cc:cc,557,0.0,0.0,0.0,0.0,0.0,557.0
192.168.10.12,213.109.127.82,16,0.0,16.0,0.0,0.0,0.0,0.0
192.168.10.12,144.217.148.73,84,0.0,84.0,0.0,0.0,0.0,0.0
144.217.148.73,192.168.10.12,84,0.0,84.0,0.0,0.0,0.0,0.0
213.109.127.82,192.168.10.12,16,0.0,16.0,0.0,0.0,0.0,0.0
192.168.10.12,192.95.27.155,15,0.0,15.0,0.0,0.0,0.0,0.0
192.168.10.12,163.172.10.212,15,0.0,15.0,0.0,0.0,0.0,0.0
192.168.10.12,129.128.12.20,16,0.0,16.0,0.0,0.0,0.0,0.0
192.95.27.155,192.168.10.12,15,0.0,15.0,0.0,0.0,0.0,0.0
129.128.12.20,192.168.10.12,16,0.0,16.0,0.0,0.0,0.0,0.0
163.172.10.212,192.168.10.12,15,0.0,15.0,0.0,0.0,0.0,0.0
192.168.10.3,192.168.10.15,40222,2878.0,37344.0,0.0,0.0,0.0,0.0
192.168.10.12,159.203.8.72,52,0.0,52.0,0.0,0.0,0.0,0.0
192.168.10.12,75.119.251.14,15,0.0,15.0,0.0,0.0,0.0,0.0
192.168.10.12,5.9.74.228,17,0.0,17.0,0.0,0.0,0.0,0.0
192.168.10.12,67.215.197.149,16,0.0,16.0,0.0,0.0,0.0,0.0
159.203.8.72,192.168.10.12,52,0.0,52.0,0.0,0.0,0.0,0.0
67.215.197.149,192.168.10.12,13,0.0,13.0,0.0,0.0,0.0,0.0
75.119.251.14,192.168.10.12,15,0.0,15.0,0.0,0.0,0.0,0.0
5.9.74.228,192.168.10.12,17,0.0,17.0,0.0,0.0,0.0,0.0
192.168.10.12,167.114.204.238,86,0.0,86.0,0.0,0.0,0.0,0.0
192.168.10.12,158.69.247.184,28,0.0,28.0,0.0,0.0,0.0,0.0
192.168.10.12,72.38.129.202,87,0.0,87.0,0.0,0.0,0.0,0.0
192.168.10.12,91.189.89.199,82,0.0,82.0,0.0,0.0,0.0,0.0
167.114.204.238,192.168.10.12,85,0.0,85.0,0.0,0.0,0.0,0.0
158.69.247.184,192.168.10.12,28,0.0,28.0,0.0,0.0,0.0,0.0
72.38.129.202,192.168.10.12,83,0.0,83.0,0.0,0.0,0.0,0.0
91.189.89.199,192.168.10.12,82,0.0,82.0,0.0,0.0,0.0,0.0
192.168.10.12,192.168.10.255,2190,0.0,2190.0,0.0,0.0,0.0,0.0
b8:ac:6f:36:04:e3,33:33:00:00:00:01,92,0.0,0.0,0.0,0.0,0.0,92.0
192.168.10.50,192.168.10.12,6296,6288.0,8.0,0.0,0.0,0.0,0.0
00:1e:4f:d4:ca:28,01:80:c2:00:00:0e,34,0.0,0.0,0.0,0.0,0.0,34.0
b8:ac:6f:36:08:f5,ff:ff:ff:ff:ff:ff,4986,0.0,0.0,0.0,0.0,4986.0,0.0
b8:ac:6f:36:08:f5,33:33:ff:73:ed:41,115,0.0,0.0,0.0,0.0,0.0,115.0
b8:ac:6f:36:08:f5,33:33:00:00:00:02,293,0.0,0.0,0.0,0.0,0.0,293.0
b8:ac:6f:36:08:f5,33:33:00:00:00:16,1209,0.0,0.0,0.0,0.0,0.0,1209.0
192.168.10.19,75.119.251.14,103,0.0,103.0,0.0,0.0,0.0,0.0
192.168.10.19,129.128.12.20,103,0.0,103.0,0.0,0.0,0.0,0.0
129.128.12.20,192.168.10.19,103,0.0,103.0,0.0,0.0,0.0,0.0
75.119.251.14,192.168.10.19,103,0.0,103.0,0.0,0.0,0.0,0.0
192.168.10.12,255.255.255.255,46,0.0,46.0,0.0,0.0,0.0,0.0
192.168.10.19,192.99.2.8,103,0.0,103.0,0.0,0.0,0.0,0.0
192.99.2.8,192.168.10.19,102,0.0,102.0,0.0,0.0,0.0,0.0
