Src,Dst,Total,TCP,UDP,ICMP,othProto,ARP,others
70:6e:6d:1d:bb:06,01:00:0c:cc:cc:cc,561,0.0,0.0,0.0,0.0,0.0,561.0
00:1e:4f:d4:ca:28,33:33:00:01:00:02,6871,0.0,0.0,0.0,0.0,0.0,6871.0
24:6e:96:4a:37:7a,33:33:00:00:00:01,148,0.0,0.0,0.0,0.0,0.0,148.0
24:6e:96:4a:37:7a,33:33:00:00:00:fb,83,0.0,0.0,0.0,0.0,0.0,83.0
192.168.10.5,192.168.10.3,52201,4209.0,47992.0,0.0,0.0,0.0,0.0
192.168.10.3,192.168.10.5,42932,3571.0,39361.0,0.0,0.0,0.0,0.0
70:6e:6d:1d:bb:0a,01:00:0c:cc:cc:cc,573,0.0,0.0,0.0,0.0,0.0,573.0
70:6e:6d:1d:bb:02,01:00:0c:cc:cc:cc,595,0.0,0.0,0.0,0.0,0.0,595.0
70:6e:6d:1d:bb:0f,01:00:0c:cc:cc:cc,540,0.0,0.0,0.0,0.0,0.0,540.0
70:6e:6d:1d:bb:08,01:00:0c:cc:cc:cc,558,0.0,0.0,0.0,0.0,0.0,558.0
192.168.10.3,192.168.10.1,69053,0.0,69053.0,0.0,0.0,0.0,0.0
192.168.10.1,192.168.10.3,69053,0.0,69047.0,6.0,0.0,0.0,0.0
b8:ac:6f:36:0a:8b,ff:ff:ff:ff:ff:ff,3366,0.0,0.0,0.0,0.0,3366.0,0.0
00:c1:b1:14:eb:31,b8:ac:6f:36:0a:8b,81,0.0,0.0,0.0,0.0,81.0,0.0
192.168.10.5,23.217.41.219,10,10.0,0.0,0.0,0.0,0.0,0.0
23.217.41.219,192.168.10.5,6,6.0,0.0,0.0,0.0,0.0,0.0
192.168.10.5,23.15.4.19,44,44.0,0.0,0.0,0.0,0.0,0.0
23.15.4.19,192.168.10.5,31,31.0,0.0,0.0,0.0,0.0,0.0
192.168.10.5,104.88.60.48,50,50.0,0.0,0.0,0.0,0.0,0.0
104.88.60.48,192.168.10.5,34,34.0,0.0,0.0,0.0,0.0,0.0
192.168.10.5,23.52.146.130,6,6.0,0.0,0.0,0.0,0.0,0.0
23.52.146.130,192.168.10.5,4,4.0,0.0,0.0,0.0,0.0,0.0
192.168.10.5,23.202.233.152,6,6.0,0.0,0.0,0.0,0.0,0.0
23.202.233.152,192.168.10.5,5,5.0,0.0,0.0,0.0,0.0,0.0
70:6e:6d:1d:bb:11,01:00:0c:cc:cc:cc,541,0.0,0.0,0.0,0.0,0.0,541.0
192.168.10.3,192.168.10.255,5430,0.0,5430.0,0.0,0.0,0.0,0.0
70:6e:6d:1d:bb:03,01:00:0c:cc:cc:cc,590,0.0,0.0,0.0,0.0,0.0,590.0
192.168.10.50,224.0.0.251,463,0.0,463.0,0.0,0.0,0.0,0.0
18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,754,0.0,0.0,0.0,0.0,754.0,0.0
00:c1:b1:14:eb:31,18:66:da:9b:e3:7d,754,0.0,0.0,0.0,0.0,754.0,0.0
00:19:b9:0a:69:f1,33:33:00:00:00:fb,463,0.0,0.0,0.0,0.0,0.0,463.0
70:6e:6d:1d:bb:04,01:00:0c:cc:cc:cc,565,0.0,0.0,0.0,0.0,0.0,565.0
70:6e:6d:1d:bb:05,01:00:0c:cc:cc:cc,559,0.0,0.0,0.0,0.0,0.0,559.0
b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,21,0.0,0.0,0.0,0.0,21.0,0.0
192.168.10.5,184.25.102.48,79,79.0,0.0,0.0,0.0,0.0,0.0
184.25.102.48,192.168.10.5,71,71.0,0.0,0.0,0.0,0.0,0.0
192.168.10.15,192.168.10.3,45967,4207.0,41756.0,4.0,0.0,0.0,0.0
192.168.10.3,192.168.10.15,39504,3688.0,35816.0,0.0,0.0,0.0,0.0
192.168.10.15,64.4.54.254,447,447.0,0.0,0.0,0.0,0.0,0.0
