Src,Dst,Total,TCP,UDP,ICMP,othProto,ARP,others
192.168.10.15,239.255.255.250,50,0.0,50.0,0.0,0.0,0.0,0.0
00:23:ae:9b:95:67,33:33:ff:9b:95:67,23,0.0,0.0,0.0,0.0,0.0,23.0
00:19:b9:0a:69:f1,00:23:ae:9b:8a:bf,554,0.0,0.0,0.0,0.0,554.0,0.0
00:23:ae:9b:8a:bf,00:19:b9:0a:69:f1,554,0.0,0.0,0.0,0.0,554.0,0.0
00:23:ae:9b:95:67,33:33:00:00:00:16,115,0.0,0.0,0.0,0.0,0.0,115.0
40.83.143.209,192.168.10.14,208,208.0,0.0,0.0,0.0,0.0,0.0
192.168.10.17,224.0.0.251,740,0.0,740.0,0.0,0.0,0.0,0.0
192.168.10.14,40.83.143.209,247,247.0,0.0,0.0,0.0,0.0,0.0
00:23:ae:9b:ad:b3,33:33:00:00:00:fb,449,0.0,0.0,0.0,0.0,0.0,449.0
192.168.10.19,224.0.0.251,521,0.0,521.0,0.0,0.0,0.0,0.0
192.168.10.17,224.0.0.22,1,0.0,0.0,0.0,1.0,0.0,0.0
00:23:ae:9b:95:67,ff:ff:ff:ff:ff:ff,46,0.0,0.0,0.0,0.0,46.0,0.0
18:66:da:9b:e3:7d,00:23:ae:9b:95:67,1110,0.0,0.0,0.0,0.0,1110.0,0.0
192.168.10.17,192.168.10.3,25416,1336.0,23942.0,138.0,0.0,0.0,0.0
192.168.10.3,192.168.10.17,24945,1033.0,23912.0,0.0,0.0,0.0,0.0
192.168.10.16,158.69.223.100,22,0.0,22.0,0.0,0.0,0.0,0.0
192.168.10.16,159.203.8.72,84,0.0,84.0,0.0,0.0,0.0,0.0
158.69.223.100,192.168.10.16,22,0.0,22.0,0.0,0.0,0.0,0.0
159.203.8.72,192.168.10.16,84,0.0,84.0,0.0,0.0,0.0,0.0
192.168.10.19,38.126.113.10,12,0.0,12.0,0.0,0.0,0.0,0.0
192.168.10.19,99.224.25.39,100,0.0,100.0,0.0,0.0,0.0,0.0
192.168.10.19,132.163.4.101,11,0.0,11.0,0.0,0.0,0.0,0.0
192.168.10.17,192.168.10.255,2405,0.0,2405.0,0.0,0.0,0.0,0.0
192.168.10.50,192.168.10.17,6240,6042.0,198.0,0.0,0.0,0.0,0.0
132.163.4.101,192.168.10.19,11,0.0,11.0,0.0,0.0,0.0,0.0
99.224.25.39,192.168.10.19,99,0.0,99.0,0.0,0.0,0.0,0.0
38.126.113.10,192.168.10.19,12,0.0,12.0,0.0,0.0,0.0,0.0
00:23:ae:9b:95:67,33:33:00:00:00:02,69,0.0,0.0,0.0,0.0,0.0,69.0
70:6e:6d:1d:bb:08,01:00:0c:cc:cc:cc,565,0.0,0.0,0.0,0.0,0.0,565.0
00:23:ae:9b:95:67,33:33:00:00:00:fb,590,0.0,0.0,0.0,0.0,0.0,590.0
192.168.10.12,192.168.10.3,31642,1322.0,30286.0,0.0,34.0,0.0,0.0
192.168.10.3,192.168.10.12,31287,1003.0,30284.0,0.0,0.0,0.0,0.0
70:6e:6d:1d:bb:03,01:00:0c:cc:cc:cc,608,0.0,0.0,0.0,0.0,0.0,608.0
192.168.10.16,38.126.113.10,21,0.0,21.0,0.0,0.0,0.0,0.0
192.168.10.19,104.131.53.252,12,0.0,12.0,0.0,0.0,0.0,0.0
192.168.10.19,158.69.223.100,10,0.0,10.0,0.0,0.0,0.0,0.0
192.168.10.19,128.100.100.128,106,0.0,106.0,0.0,0.0,0.0,0.0
192.168.10.19,4.53.160.75,7,0.0,7.0,0.0,0.0,0.0,0.0
192.168.10.19,208.81.1.244,7,0.0,7.0,0.0,0.0,0.0,0.0
158.69.223.100,192.168.10.19,10,0.0,10.0,0.0,0.0,0.0,0.0
38.126.113.10,192.168.10.16,21,0.0,21.0,0.0,0.0,0.0,0.0
128.100.100.128,192.168.10.19,106,0.0,106.0,0.0,0.0,0.0,0.0
