ip.src,ip.dst,eth.src,eth.dst,Total,First_Time,Last_Time,Time_Interval,Frequency,TCP,UDP,ICMP,othProto,ARP,others
0,0,0,0,1,1.3e-05,1.3e-05,0.0,1.0,0,0,0,0,0,1
0,0,08:00:27:11:4e:fa,ff:ff:ff:ff:ff:ff,348,14.107883,426739.545113,426725.43723,0.0008155126684243857,0,0,0,0,348,0
0,0,1c:6f:65:c0:43:92,08:00:27:11:4e:fa,3229,14.108001,426744.82561,426730.717609,0.007566832821626475,0,0,0,0,3229,0
0,0,08:00:27:11:4e:fa,33:33:ff:ae:f4:cb,3363,14.150912,426749.101448,426734.950536,0.007880770009055755,0,0,0,0,0,3363
0,0,08:00:27:11:4e:fa,33:33:ff:cc:1f:02,3361,14.151047,426748.605347,426734.4543,0.007876092417972822,0,0,0,0,0,3361
0,0,08:00:27:11:4e:fa,33:33:ff:00:02:c6,6,14.151108,410470.697243,410456.54613499995,1.4617868947390568e-05,0,0,0,0,0,6
0,0,08:00:27:11:4e:fa,33:33:00:00:00:02,12,14.151172,410471.067706,410456.916534,2.9235711512260473e-05,0,0,0,0,0,12
0,0,d8:58:d7:00:0f:72,08:00:27:11:4e:fa,381869,14.152713,426761.429326,426747.27661299997,0.8948364076996834,0,0,0,0,11619,370250
0,0,08:00:27:11:4e:fa,33:33:00:01:00:02,42,14.852612,410483.15485,410468.302238,0.0001023221519688683,0,0,0,0,0,42
0,0,d8:58:d7:00:0f:72,33:33:00:00:00:01,4569,14.859027,426741.934259,426727.075232,0.010707077814352319,0,0,0,0,0,4569
0,0,08:00:27:11:4e:fa,33:33:ff:00:04:f7,3375,15.890952,426742.155206,426726.26425400004,0.007909051499091935,0,0,0,0,0,3375
0,0,08:00:27:11:4e:fa,33:33:ff:00:00:01,2,17.550437,711.238564,693.688127,0.002883140019491785,0,0,0,0,0,2
0,0,08:00:27:11:4e:fa,d8:58:d7:00:0f:72,381755,17.550941,426761.428899,426743.877958,0.8945763951593753,0,0,0,0,11620,370135
0,0,08:00:27:11:4e:fa,33:33:00:01:00:03,4,17.551712,719.345347,701.793635,0.0056996812175419635,0,0,0,0,0,4
192.168.1.113,224.0.0.252,08:00:27:11:4e:fa,01:00:5e:00:00:fc,4,17.551908,719.345531,701.793623,0.005699681315001062,0,4,0,0,0,0
192.168.1.113,192.168.1.255,08:00:27:11:4e:fa,ff:ff:ff:ff:ff:ff,6,17.846553,721.047806,703.2012530000001,0.008532408004682551,0,6,0,0,0,0
192.168.1.113,195.113.232.73,08:00:27:11:4e:fa,1c:6f:65:c0:43:92,5,20.457502,20.479833,0.02233099999999766,223.90398996912472,5,0,0,0,0,0
0,0,d8:58:d7:00:0f:72,ff:ff:ff:ff:ff:ff,4490,20.458327,426711.507675,426691.04934800003,0.010522836152436028,0,0,0,0,4490,0
195.113.232.73,192.168.1.113,d8:58:d7:00:0f:72,08:00:27:11:4e:fa,5,20.458626,20.480526,0.02190000000000225,228.31050228308155,5,0,0,0,0,0
0.0.0.0,224.0.0.1,d8:58:d7:00:0f:72,01:00:5e:00:00:01,3402,60.398856,426715.57435,426655.175494,0.007973652249878407,0,0,0,3402,0,0
192.168.1.113,107.154.113.172,08:00:27:11:4e:fa,1c:6f:65:c0:43:92,289864,711.373324,426739.817348,426028.444024,0.6803864954699379,289864,0,0,0,0,0
107.154.113.172,192.168.1.113,d8:58:d7:00:0f:72,08:00:27:11:4e:fa,1325958,711.381944,426762.042229,426050.660285,3.112207358423106,1325958,0,0,0,0,0
0,0,08:00:27:11:4e:fa,33:33:ff:00:0f:72,75,716.252693,416141.437732,415425.185039,0.00018053792283431014,0,0,0,0,0,75
192.168.1.113,34.224.231.232,08:00:27:11:4e:fa,1c:6f:65:c0:43:92,5,722.20031,773.696687,51.49637700000005,0.09709420917125869,5,0,0,0,0,0
34.224.231.232,192.168.1.113,d8:58:d7:00:0f:72,08:00:27:11:4e:fa,3,722.309985,722.420346,0.1103610000000117,27.183515915945687,3,0,0,0,0,0
192.168.1.113,195.113.232.72,08:00:27:11:4e:fa,1c:6f:65:c0:43:92,4892,722.602079,984.597541,261.995462,18.672079137004292,4892,0,0,0,0,0
195.113.232.72,192.168.1.113,d8:58:d7:00:0f:72,08:00:27:11:4e:fa,30879,722.602915,984.597319,261.9944039999999,117.86129599928405,30879,0,0,0,0,0
192.168.1.2,192.168.1.113,1c:6f:65:c0:43:92,08:00:27:11:4e:fa,367,722.841635,426739.817413,426016.97577799996,0.0008614680185684571,0,0,367,0,0,0
