ip.src,ip.dst,eth.src,eth.dst,Total,First_Time,Last_Time,Time_Interval,Frequency,TCP,UDP,ICMP,othProto,ARP,others
0,0,0,0,1,1.5e-05,1.5e-05,0.0,1.0,0,0,0,0,0,1
0,0,08:00:27:7c:99:f8,ff:ff:ff:ff:ff:ff,13,74.476931,74.477101,0.00017000000001132776,76470.58823019858,0,0,0,0,13,0
0,0,08:00:27:7c:99:f8,33:33:ff:d5:db:1c,58,74.476965,6503.128346,6428.651381000001,0.009022110013838996,0,0,0,0,0,58
0,0,08:00:27:7c:99:f8,33:33:ff:60:e3:aa,3,74.476974,74.477014,3.999999999848569e-05,75000.00000283933,0,0,0,0,0,3
0,0,08:00:27:7c:99:f8,33:33:ff:00:04:f7,61,74.476977,6507.634125,6433.157147999999,0.00948212496549447,0,0,0,0,0,61
0,0,08:00:27:7c:99:f8,33:33:00:00:00:02,5,74.476981,74.477115,0.00013400000000274304,37313.43283505707,0,0,0,0,0,5
0,0,08:00:27:7c:99:f8,33:33:ff:b4:1e:f9,56,74.476994,6510.629042,6436.152048,0.00870085100264244,0,0,0,0,0,56
0,0,08:00:27:7c:99:f8,33:33:00:01:00:02,3,74.477045,74.477066,2.099999998961266e-05,142857.14292780502,0,0,0,0,0,3
0,0,d8:58:d7:00:0f:72,33:33:00:00:00:01,72,74.477052,6502.65652,6428.179467999999,0.011200682924056782,0,0,0,0,0,72
0,0,08:00:27:7c:99:f8,33:33:ff:00:00:01,1,74.477098,74.477098,0.0,1.0,0,0,0,0,0,1
0,0,44:8a:5b:81:70:89,33:33:ff:81:70:89,53,74.477111,6510.211978,6435.734867,0.008235267781425215,0,0,0,0,0,53
0,0,d8:58:d7:00:0f:72,ff:ff:ff:ff:ff:ff,126,74.477143,6206.392012,6131.914869,0.020548230478051016,0,0,0,0,126,0
0,0,08:00:27:0a:a9:9c,ff:ff:ff:ff:ff:ff,8,76.67234,5128.420088,5051.747748,0.0015836103461751869,0,0,0,0,8,0
0,0,08:00:27:0a:a9:9c,33:33:ff:76:2c:5a,54,76.672532,6506.712936,6430.040404,0.008398080977284011,0,0,0,0,0,54
0,0,08:00:27:0a:a9:9c,33:33:00:00:00:02,3,76.672654,84.673833,8.001179000000008,0.37494474251857096,0,0,0,0,0,3
0,0,08:00:27:0a:a9:9c,33:33:00:00:00:16,7,76.672776,103.671124,26.998348000000007,0.25927512305567724,0,0,0,0,0,7
0,0,d8:58:d7:00:0f:72,08:00:27:0a:a9:9c,54,76.674134,5159.481164,5082.80703,0.010624050781640632,0,0,0,0,0,54
0,0,08:00:27:0a:a9:9c,33:33:ff:e2:67:e0,53,77.173637,6509.216693,6432.043056,0.008239994592474008,0,0,0,0,0,53
0,0,08:00:27:0a:a9:9c,d8:58:d7:00:0f:72,39,81.674428,5159.481442,5077.807014,0.00768048094235824,0,0,0,0,0,39
0,0,08:00:27:0a:a9:9c,33:33:00:01:00:02,6,101.989008,114.637808,12.648800000000008,0.4743532983366008,0,0,0,0,0,6
0,0,08:00:27:0a:a9:9c,33:33:ff:00:04:f7,1,103.170444,103.170444,0.0,1.0,0,0,0,0,0,1
0,0,08:00:27:7c:99:f8,33:33:00:00:00:01,1,103.182883,103.182883,0.0,1.0,0,0,0,0,0,1
0,0,1c:6f:65:c0:43:92,08:00:27:0a:a9:9c,6,108.253727,5128.420207,5020.16648,0.0011951794873543717,0,0,0,0,6,0
0,0,08:00:27:0a:a9:9c,33:33:ff:00:02:c6,54,114.641565,6503.20777,6388.566205,0.00845260082892105,0,0,0,0,0,54
0,0,08:00:27:0a:a9:9c,33:33:ff:00:00:01,4,119.404402,5149.462934,5030.058532,0.0007952193745963352,0,0,0,0,0,4
0,0,08:00:27:0a:a9:9c,33:33:00:01:00:03,4,119.405438,132.195424,12.789985999999999,0.31274467384092525,0,0,0,0,0,4
192.168.1.117,224.0.0.252,08:00:27:0a:a9:9c,01:00:5e:00:00:fc,4,119.405619,132.195597,12.78997799999999,0.31274486945950986,0,4,0,0,0,0
192.168.1.117,192.168.1.255,08:00:27:0a:a9:9c,ff:ff:ff:ff:ff:ff,18,119.704892,5151.023768,5031.318876,0.003577590775623898,0,18,0,0,0,0
192.168.1.117,195.113.232.73,08:00:27:0a:a9:9c,1c:6f:65:c0:43:92,3,122.514669,131.52111,9.006440999999995,0.3330949483819415,3,0,0,0,0,0
0.0.0.0,224.0.0.1,d8:58:d7:00:0f:72,01:00:5e:00:00:01,52,122.665854,6520.064398,6397.398544000001,0.008128303972678054,0,0,0,52,0,0
192.168.1.117,204.11.56.48,08:00:27:0a:a9:9c,1c:6f:65:c0:43:92,24,132.387137,5160.778032,5028.3908950000005,0.0047728986272456446,24,0,0,0,0,0
192.168.1.117,195.113.232.74,08:00:27:0a:a9:9c,1c:6f:65:c0:43:92,3,143.514376,152.517194,9.00281799999999,0.33322899563225683,3,0,0,0,0,0
0,0,08:00:27:0a:a9:9c,1c:6f:65:c0:43:92,1,161.710548,161.710548,0.0,1.0,0,0,0,0,1,0
0,0,08:00:27:0a:a9:9c,33:33:ff:00:0f:72,4,202.233582,5154.473489,4952.239907,0.0008077153116806786,0,0,0,0,0,4
0,0,1c:6f:65:c0:43:92,33:33:00:00:00:fb,2,531.744613,4131.745309,3600.000696,0.0005555554481481689,0,0,0,0,0,2
192.168.1.2,224.0.0.251,1c:6f:65:c0:43:92,01:00:5e:00:00:fb,2,531.744648,4131.745345,3600.0006970000004,0.000555555447993848,0,2,0,0,0,0
0,0,40:00:30:06:94:17,45:48:05:dc:00:00,1,1371.859374,1371.859374,0.0,1.0,0,0,0,0,0,1
0,0,40:00:30:06:96:53,45:48:03:a0:00:00,1,1371.859426,1371.859426,0.0,1.0,0,0,0,0,0,1
