ip.src,ip.dst,eth.src,eth.dst,Total,First_Time,Last_Time,Time_Interval,Frequency,TCP,UDP,ICMP,othProto,ARP,others
0,0,d8:58:d7:00:0f:72,08:00:27:c3:f9:98,15099,10.36055,1799366.115232,1799355.7546819998,0.008391336710770933,0,0,0,0,14335,764
0,0,1c:6f:65:c0:43:92,08:00:27:c3:f9:98,12061,10.606552,1799359.773241,1799349.166689,0.00670297917896256,0,0,0,0,12061,0
192.168.1.118,8.8.8.8,08:00:27:c3:f9:98,1c:6f:65:c0:43:92,2,12.944677,12.946161,0.0014839999999995968,1347.7088948790724,0,2,0,0,0,0
8.8.8.8,192.168.1.118,d8:58:d7:00:0f:72,08:00:27:c3:f9:98,2,12.945864,12.947275,0.001410999999999163,1417.4344436578217,0,2,0,0,0,0
0,0,08:00:27:c3:f9:98,d8:58:d7:00:0f:72,7267,15.374525,1799366.115366,1799350.7408409999,0.0040386789718404046,0,0,0,0,7163,104
192.168.1.118,8.8.247.36,08:00:27:c3:f9:98,1c:6f:65:c0:43:92,7176,137.035577,1799181.765368,1799044.729791,0.003988783536712651,7176,0,0,0,0,0
8.8.247.36,192.168.1.118,1c:6f:65:c0:43:92,08:00:27:c3:f9:98,7173,137.03567,1799181.765519,1799044.729849,0.003987115984938326,7173,0,0,0,0,0
0,0,08:00:27:c3:f9:98,1c:6f:65:c0:43:92,1958,142.040137,1799185.768089,1799043.727952,0.0010883559802234229,0,0,0,0,1958,0
192.168.1.118,107.170.0.14,08:00:27:c3:f9:98,1c:6f:65:c0:43:92,4785,305.060804,1799360.382777,1799055.3219730002,0.002659729215415318,4785,0,0,0,0,0
107.170.0.14,192.168.1.118,d8:58:d7:00:0f:72,08:00:27:c3:f9:98,7168,305.180919,1799361.10472,1799055.923801,0.003984311941151685,7168,0,0,0,0,0
192.168.1.2,192.168.1.118,1c:6f:65:c0:43:92,08:00:27:c3:f9:98,7176,305.68315,1799360.382916,1799054.699766,0.003988761431730436,0,0,7176,0,0,0
192.168.1.118,107.170.0.14,08:00:27:c3:f9:98,d8:58:d7:00:0f:72,2391,306.303574,1799360.993515,1799054.689941,0.0013290313037000632,2391,0,0,0,0,0
192.168.1.118,37.120.172.171,08:00:27:c3:f9:98,1c:6f:65:c0:43:92,4782,431.425421,1798683.019021,1798251.5936,0.0026592496939912068,4782,0,0,0,0,0
37.120.172.171,192.168.1.118,d8:58:d7:00:0f:72,08:00:27:c3:f9:98,7167,431.439709,1798683.554444,1798252.1147349998,0.003985536811703496,7167,0,0,0,0,0
192.168.1.118,37.120.172.171,08:00:27:c3:f9:98,d8:58:d7:00:0f:72,2391,432.445696,1798683.540006,1798251.09431,0.0013296252161700706,2391,0,0,0,0,0
192.168.1.118,81.12.229.190,08:00:27:c3:f9:98,1c:6f:65:c0:43:92,4782,596.463722,1798859.121865,1798262.6581430002,0.0026592333318749975,4782,0,0,0,0,0
81.12.229.190,192.168.1.118,d8:58:d7:00:0f:72,08:00:27:c3:f9:98,7167,596.536759,1798859.765602,1798263.228843,0.003985512179221525,7167,0,0,0,0,0
192.168.1.118,81.12.229.190,08:00:27:c3:f9:98,d8:58:d7:00:0f:72,2391,597.60274,1798859.692945,1798262.090205,0.0013296170858650691,2391,0,0,0,0,0
192.168.1.1,192.168.1.118,d8:58:d7:00:0f:72,08:00:27:c3:f9:98,1,583438.428859,583438.428859,0.0,1.0,0,0,1,0,0,0
192.168.1.118,192.168.1.1,08:00:27:c3:f9:98,d8:58:d7:00:0f:72,1,583438.429318,583438.429318,0.0,1.0,0,0,1,0,0,0
147.32.83.56,192.168.1.118,d8:58:d7:00:0f:72,08:00:27:c3:f9:98,3,971652.570056,971661.705923,9.135866999975406,0.3283760588905329,0,0,3,0,0,0
0,0,08:00:27:c3:f9:98,08:00:27:82:ad:f3,3,1609982.488866,1623284.758515,13302.26964900014,0.00022552542379303625,0,0,0,0,3,0
192.168.1.120,192.168.1.118,08:00:27:82:ad:f3,08:00:27:c3:f9:98,6,1609982.489052,1623285.758914,13303.2698619999,0.0004510169351024509,6,0,0,0,0,0
192.168.1.118,192.168.1.120,08:00:27:c3:f9:98,08:00:27:82:ad:f3,6,1609982.489207,1623285.759034,13303.269827000098,0.00045101693628903913,6,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:c3:f9:98,2,1609987.42685,1623284.759132,13297.332281999988,0.00015040610835207236,0,0,0,0,2,0
0,0,08:00:27:c3:f9:98,08:00:27:52:f4:11,2,1724467.637644,1724472.400372,4.762728000059724,0.41992740294531206,0,0,0,0,2,0
192.168.1.114,192.168.1.118,08:00:27:52:f4:11,08:00:27:c3:f9:98,3,1724467.637824,1724468.63818,1.000355999916792,2.998932380322141,3,0,0,0,0,0
192.168.1.118,192.168.1.114,08:00:27:c3:f9:98,08:00:27:52:f4:11,3,1724467.637996,1724468.638377,1.0003810001071543,2.998857434995926,3,0,0,0,0,0
0,0,08:00:27:52:f4:11,08:00:27:c3:f9:98,1,1724472.400686,1724472.400686,0.0,1.0,0,0,0,0,1,0
