ip.src,ip.dst,eth.src,eth.dst,Total,First_Time,Last_Time,Time_Interval,Frequency,TCP,UDP,ICMP,othProto,ARP,others
0,0,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,16351,10.285344,3022534.78187,3022524.496526,0.005409716288087443,0,0,0,0,13429,2922
0,0,1c:6f:65:c0:43:92,08:00:27:5d:86:c6,33353,10.28663,3023265.179967,3023254.893337,0.011032149513263739,0,0,0,0,33353,0
192.168.1.121,8.8.8.8,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,102,13.092112,3022526.307169,3022513.215057,3.3746750714562697e-05,0,92,10,0,0,0
0,0,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,8547,13.093671,3022534.781989,3022521.6883179997,0.00282777127225721,0,0,0,0,7124,1423
8.8.8.8,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,92,13.093796,3022526.431067,3022513.3372710003,3.0438244511789636e-05,0,92,0,0,0,0
192.168.1.121,78.47.139.102,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,3,311.41678,311.503564,0.086783999999966,34.568584070810005,3,0,0,0,0,0
78.47.139.102,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,5,311.433077,321.6005,10.167422999999985,0.4917666944711563,5,0,0,0,0,0
192.168.1.2,192.168.1.121,1c:6f:65:c0:43:92,08:00:27:5d:86:c6,9903,311.503677,2859517.08784,2859205.5841630003,0.0034635494750192963,0,0,9903,0,0,0
192.168.1.121,78.47.139.102,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,3,311.765224,321.56183,9.796605999999997,0.30622850403496893,3,0,0,0,0,0
192.168.1.121,47.18.17.114,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,4,312.3235,367.545694,55.222194,0.07243464466478822,4,0,0,0,0,0
47.18.17.114,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,21,312.531672,345.791004,33.25933199999997,0.6314017371124597,21,0,0,0,0,0
192.168.1.121,47.18.17.114,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,36,312.542409,389.156628,76.61421899999999,0.4698866668601034,36,0,0,0,0,0
192.168.1.121,195.113.232.82,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,12,314.018915,431.237695,117.21877999999998,0.10237267441275197,12,0,0,0,0,0
195.113.232.82,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,38,314.02086,314.024633,0.0037729999999669417,10071.5610920575,38,0,0,0,0,0
0,0,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,6837,316.519681,3003519.063584,3003202.5439029997,0.0022765697284987474,0,0,0,0,6837,0
192.168.1.121,213.25.134.75,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,5,360.787419,435.883797,75.09637800000002,0.06658110728056683,5,0,0,0,0,0
192.168.1.121,213.25.134.75,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,4,396.788579,441.882924,45.094344999999976,0.08870291829274829,4,0,0,0,0,0
192.168.1.121,219.93.24.2,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,4,468.882181,486.897154,18.014972999999998,0.22203752400850119,4,0,0,0,0,0
219.93.24.2,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,9,469.251953,505.250137,35.99818399999998,0.2500126117473038,9,0,0,0,0,0
192.168.1.121,219.93.24.2,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,5,470.663733,504.882958,34.219224999999994,0.1461166931746701,5,0,0,0,0,0
192.168.1.121,192.189.25.143,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,4,520.247022,537.139762,16.892740000000003,0.23678811134250566,4,0,0,0,0,0
192.189.25.143,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,9,520.348856,554.118935,33.77007900000001,0.2665081121071703,9,0,0,0,0,0
192.168.1.121,192.189.25.143,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,5,521.447168,554.023828,32.57665999999995,0.15348412022595342,5,0,0,0,0,0
192.168.1.121,207.35.75.110,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,5,569.116759,650.202553,81.08579399999996,0.06166308243833688,5,0,0,0,0,0
204.101.4.126,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,9,572.025113,650.350837,78.32572399999992,0.11490477892039669,0,0,9,0,0,0
192.168.1.121,207.35.75.110,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,4,578.118155,644.193731,66.07557599999996,0.060536740534808245,4,0,0,0,0,0
192.168.1.121,36.37.176.6,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,6,677.202548,752.20872,75.00617199999999,0.07999341707506417,6,0,0,0,0,0
192.168.1.121,36.37.176.6,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,3,686.203553,758.207634,72.00408099999993,0.0416643051107062,3,0,0,0,0,0
192.168.1.121,217.29.220.255,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,5,785.248144,866.322717,81.07457299999999,0.06167161682121965,5,0,0,0,0,0
169.255.60.70,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,4,785.444118,866.518164,81.07404599999995,0.04933761416076363,0,0,4,0,0,0
192.168.1.121,217.29.220.255,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,4,794.2494,860.324164,66.07476399999996,0.0605374844774323,4,0,0,0,0,0
196.192.189.62,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,4,794.446824,860.515038,66.06821400000001,0.06054348616113642,0,0,4,0,0,0
192.168.1.121,186.109.81.79,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,4,893.322854,931.194911,37.87205700000004,0.10561876794809417,4,0,0,0,0,0
186.109.81.79,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,31,893.66093,934.05566,40.39472999999998,0.7674268400853284,31,0,0,0,0,0
192.168.1.121,186.109.81.79,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,28,893.661458,933.760934,40.09947599999998,0.6982634885303741,28,0,0,0,0,0
192.168.1.121,190.138.249.45,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,16778,948.762246,3022866.877343,3021918.115097,0.005552102790667922,16778,0,0,0,0,0
190.138.249.45,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,5041,949.328681,530475.61764,529526.2889589999,0.009519829525197216,5041,0,0,0,0,0
192.168.1.121,190.138.249.45,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,2833,949.329201,530475.047145,529525.7179439999,0.00535007064623744,2833,0,0,0,0,0
192.168.1.121,203.92.62.46,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,17675,954.008365,2984178.060501,2983224.052136,0.005924798034309436,17675,0,0,0,0,0
203.92.62.46,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,9715,954.363704,2574109.233872,2573154.870168,0.003775520903398136,9715,0,0,0,0,0
192.168.1.121,203.92.62.46,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,5308,955.085023,2598224.234859,2597269.149836,0.002043684999044155,5308,0,0,0,0,0
192.168.1.121,201.232.32.124,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,164,3358.518921,1054627.567096,1051269.0481750001,0.00015600192955809314,164,0,0,0,0,0
201.232.32.124,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,115,3358.930989,4791.485999,1432.5550100000005,0.08027614939547764,115,0,0,0,0,0
192.168.1.121,201.232.32.124,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,133,3359.039599,4790.645522,1431.6059229999996,0.09290266117458641,133,0,0,0,0,0
192.168.1.121,77.222.56.178,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,121,15463.597289,431773.390026,416309.792737,0.0002906489400705514,121,0,0,0,0,0
77.222.56.178,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,545,15463.644805,431783.343711,416319.698906,0.001309090108952674,545,0,0,0,0,0
192.168.1.121,77.222.56.178,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,80,15463.938648,431783.295049,416319.356401,0.00019216017408266688,80,0,0,0,0,0
192.168.1.121,107.22.214.64,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,135,15470.966117,2964837.143261,2949366.177144,4.577254633425219e-05,135,0,0,0,0,0
107.22.214.64,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,25,15471.070526,511300.874932,495829.804406,5.0420526918404574e-05,25,0,0,0,0,0
192.168.1.121,84.42.159.138,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,22884,15471.674758,3003357.136185,2987885.4614270004,0.00765892812673974,22884,0,0,0,0,0
84.42.159.138,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,4440,15471.709121,511111.618551,495639.90943,0.008958116397660806,4440,0,0,0,0,0
192.168.1.121,84.42.159.138,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,1672,15472.441592,511111.582102,495639.14051,0.0033734220390253173,1672,0,0,0,0,0
192.168.1.121,107.22.214.64,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,9,15531.770551,511300.768174,495768.997623,1.8153615984765376e-05,9,0,0,0,0,0
192.168.1.121,200.119.236.86,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,1580,47365.629786,1991468.214552,1944102.584766,0.0008127143147593598,1580,0,0,0,0,0
200.119.236.86,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,3387,47371.396585,530600.653969,483229.257384,0.00700909547227292,3387,0,0,0,0,0
192.168.1.121,200.119.236.86,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,3502,47371.397255,530689.790847,483318.39359199995,0.0072457412058607945,3502,0,0,0,0,0
192.168.1.121,36.66.107.162,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,21806,55056.848262,3023267.571656,2968210.723394,0.007346513449377318,21806,0,0,0,0,0
36.66.107.162,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,6251,55057.284479,2859517.57363,2804460.289151,0.002228949371892293,6251,0,0,0,0,0
192.168.1.121,36.66.107.162,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,3488,55057.285315,2859517.087971,2804459.802656,0.0012437332839274945,3488,0,0,0,0,0
192.168.1.121,221.179.156.39,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,12,74416.185002,158248.342837,83832.157835,0.00014314316021327543,12,0,0,0,0,0
147.32.87.101,192.168.1.121,d8:58:d7:00:0f:72,08:00:27:5d:86:c6,18,74416.185492,158254.342339,83838.15684699999,0.00021469937647662039,0,0,18,0,0,0
192.168.1.121,221.179.156.39,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,6,74425.184215,158254.341984,83829.157769,7.157414150018812e-05,6,0,0,0,0,0
192.168.1.121,80.51.120.132,08:00:27:5d:86:c6,1c:6f:65:c0:43:92,12,74524.197897,158356.338288,83832.140391,0.00014314318999885978,12,0,0,0,0,0
192.168.1.121,80.51.120.132,08:00:27:5d:86:c6,d8:58:d7:00:0f:72,6,74533.199679,158362.336688,83829.13700900001,7.157415922528025e-05,6,0,0,0,0,0
