ip.src,ip.dst,eth.src,eth.dst,Total,First_Time,Last_Time,Time_Interval,Frequency,TCP,UDP,ICMP,othProto,ARP,others
0,0,1c:6f:65:c0:43:92,08:00:27:82:ad:f3,14,6.787436,626.271432,619.483996,0.02259945388484257,0,0,0,0,14,0
0,0,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,45,6.827884,871.567981,864.740097,0.052038757259107414,0,0,0,0,22,23
192.168.1.120,52.169.120.89,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,4,7.879214,285.012776,277.133562,0.014433473777528252,0,4,0,0,0,0
52.169.120.89,192.168.1.120,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,4,7.948781,286.33946,278.390679,0.01436829715121317,0,4,0,0,0,0
0,0,08:00:27:82:ad:f3,d8:58:d7:00:0f:72,33,11.840159,871.568139,859.72798,0.03838423404575014,0,0,0,0,21,12
192.168.1.120,52.166.249.114,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,4,281.740806,287.45405,5.713243999999975,0.7001276332675478,0,3,1,0,0,0
192.168.1.2,192.168.1.120,1c:6f:65:c0:43:92,08:00:27:82:ad:f3,2,282.266207,292.456656,10.190449000000001,0.19626220591457744,0,0,2,0,0,0
52.166.249.114,192.168.1.120,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,4,283.119599,287.453966,4.334366999999986,0.9228567862389163,0,4,0,0,0,0
192.168.1.120,52.166.249.114,08:00:27:82:ad:f3,d8:58:d7:00:0f:72,1,286.008268,286.008268,0.0,1.0,0,1,0,0,0,0
192.168.1.120,189.107.236.226,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,287.436838,287.436838,0.0,1.0,1,0,0,0,0,0
192.168.1.120,192.168.1.1,08:00:27:82:ad:f3,d8:58:d7:00:0f:72,3,287.438833,288.430444,0.9916110000000344,3.0253799120823546,3,0,0,0,0,0
192.168.1.1,192.168.1.120,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,3,287.439026,288.430757,0.9917310000000157,3.0250138394382677,3,0,0,0,0,0
192.168.1.120,192.168.1.2,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,287.479653,287.479653,0.0,1.0,1,0,0,0,0,0
192.168.1.120,74.41.7.0,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,288.53149,288.53149,0.0,1.0,1,0,0,0,0,0
74.40.40.57,192.168.1.120,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,1,288.706588,288.706588,0.0,1.0,0,0,1,0,0,0
192.168.1.120,31.110.94.176,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,289.470339,289.470339,0.0,1.0,1,0,0,0,0,0
192.168.1.120,221.78.22.159,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,289.632851,289.632851,0.0,1.0,1,0,0,0,0,0
192.168.1.120,189.153.223.130,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,290.563775,290.563775,0.0,1.0,1,0,0,0,0,0
192.168.1.120,176.103.184.180,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,290.733995,290.733995,0.0,1.0,1,0,0,0,0,0
91.233.215.249,192.168.1.120,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,1,290.785258,290.785258,0.0,1.0,0,0,1,0,0,0
192.168.1.120,35.175.11.26,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,291.445318,291.445318,0.0,1.0,1,0,0,0,0,0
192.168.1.120,191.123.97.199,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,2,291.665753,292.456546,0.7907930000000079,2.5291068585584093,2,0,0,0,0,0
192.168.1.120,130.201.170.44,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,291.836053,291.836053,0.0,1.0,1,0,0,0,0,0
191.123.97.199,192.168.1.120,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,2,291.951362,292.877169,0.9258069999999634,2.1602774660378232,2,0,0,0,0,0
192.168.1.120,101.100.251.223,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,292.546429,292.546429,0.0,1.0,1,0,0,0,0,0
192.168.1.120,190.112.228.180,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,292.76721,292.76721,0.0,1.0,1,0,0,0,0,0
192.168.1.120,90.240.225.230,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,292.936988,292.936988,0.0,1.0,1,0,0,0,0,0
192.168.1.120,199.102.2.21,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,293.478152,293.478152,0.0,1.0,1,0,0,0,0,0
192.168.1.120,120.135.54.2,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,293.648456,293.648456,0.0,1.0,1,0,0,0,0,0
192.168.1.120,109.198.199.105,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,293.868712,293.868712,0.0,1.0,1,0,0,0,0,0
192.168.1.120,16.195.170.197,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,294.039409,294.039409,0.0,1.0,1,0,0,0,0,0
192.168.1.120,48.67.241.86,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,294.580484,294.580484,0.0,1.0,1,0,0,0,0,0
192.168.1.120,123.4.211.35,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,294.750347,294.750347,0.0,1.0,1,0,0,0,0,0
192.168.1.120,188.146.176.52,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,294.970389,294.970389,0.0,1.0,1,0,0,0,0,0
192.168.1.120,106.227.62.167,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,295.140477,295.140477,0.0,1.0,1,0,0,0,0,0
192.168.1.120,57.145.48.37,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,295.451288,295.451288,0.0,1.0,1,0,0,0,0,0
192.168.1.120,23.80.61.124,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,2,295.681375,296.351884,0.6705089999999814,2.9828085827334987,2,0,0,0,0,0
192.168.1.120,9.117.228.6,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,295.851701,295.851701,0.0,1.0,1,0,0,0,0,0
23.80.61.124,192.168.1.120,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,2,295.855891,296.526245,0.6703540000000316,2.983498271062611,2,0,0,0,0,0
192.168.1.120,136.59.167.6,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,296.071776,296.071776,0.0,1.0,1,0,0,0,0,0
136.59.167.6,192.168.1.120,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,1,296.202012,296.202012,0.0,1.0,0,0,1,0,0,0
192.168.1.120,59.181.40.53,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,296.241993,296.241993,0.0,1.0,1,0,0,0,0,0
192.168.1.120,122.100.210.210,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,296.552793,296.552793,0.0,1.0,1,0,0,0,0,0
192.168.1.120,83.166.79.117,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,296.782789,296.782789,0.0,1.0,1,0,0,0,0,0
149.6.0.83,192.168.1.120,d8:58:d7:00:0f:72,08:00:27:82:ad:f3,1,296.808391,296.808391,0.0,1.0,0,0,1,0,0,0
192.168.1.120,203.10.45.70,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,296.953139,296.953139,0.0,1.0,1,0,0,0,0,0
192.168.1.120,176.79.152.124,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,297.173334,297.173334,0.0,1.0,1,0,0,0,0,0
192.168.1.120,116.193.94.186,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,297.343744,297.343744,0.0,1.0,1,0,0,0,0,0
0,0,08:00:27:d5:8d:44,08:00:27:82:ad:f3,1,297.344344,297.344344,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.106,08:00:27:82:ad:f3,08:00:27:d5:8d:44,3,297.344431,298.344803,1.0003720000000271,2.9988844149975398,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:d5:8d:44,1,297.345145,297.345145,0.0,1.0,0,0,0,0,1,0
192.168.1.106,192.168.1.120,08:00:27:d5:8d:44,08:00:27:82:ad:f3,3,297.345353,298.345097,0.9997440000000211,3.0007681966582815,3,0,0,0,0,0
192.168.1.120,110.46.216.57,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,297.454201,297.454201,0.0,1.0,1,0,0,0,0,0
192.168.1.120,195.25.57.129,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,297.654196,297.654196,0.0,1.0,1,0,0,0,0,0
192.168.1.120,120.72.176.32,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,297.884819,297.884819,0.0,1.0,1,0,0,0,0,0
192.168.1.120,36.108.73.20,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,298.054388,298.054388,0.0,1.0,1,0,0,0,0,0
192.168.1.120,174.38.199.150,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,298.274955,298.274955,0.0,1.0,1,0,0,0,0,0
0,0,08:00:27:38:31:62,08:00:27:82:ad:f3,1,298.295869,298.295869,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.115,08:00:27:82:ad:f3,08:00:27:38:31:62,3,298.296003,299.29631,1.0003070000000207,2.999079282660161,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:38:31:62,1,298.296583,298.296583,0.0,1.0,0,0,0,0,1,0
192.168.1.115,192.168.1.120,08:00:27:38:31:62,08:00:27:82:ad:f3,3,298.296776,299.296643,0.9998669999999947,3.0003990530740747,3,0,0,0,0,0
0,0,08:00:27:5e:a3:27,08:00:27:82:ad:f3,1,298.345598,298.345598,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.116,08:00:27:82:ad:f3,08:00:27:5e:a3:27,3,298.345689,299.346623,1.0009340000000293,2.997200614625852,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:5e:a3:27,1,298.346241,298.346241,0.0,1.0,0,0,0,0,1,0
192.168.1.116,192.168.1.120,08:00:27:5e:a3:27,08:00:27:82:ad:f3,3,298.346462,299.346929,1.0004670000000147,2.998599653961556,3,0,0,0,0,0
0,0,08:00:27:0a:a9:9c,08:00:27:82:ad:f3,1,298.395762,298.395762,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.117,08:00:27:82:ad:f3,08:00:27:0a:a9:9c,3,298.395871,299.396833,1.0009620000000155,2.9971167736636892,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:0a:a9:9c,1,298.396269,298.396269,0.0,1.0,0,0,0,0,1,0
192.168.1.117,192.168.1.120,08:00:27:0a:a9:9c,08:00:27:82:ad:f3,3,298.396444,299.397087,1.000643000000025,2.998072239549894,3,0,0,0,0,0
192.168.1.120,22.217.58.242,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,298.44554,298.44554,0.0,1.0,1,0,0,0,0,0
0,0,08:00:27:c3:f9:98,08:00:27:82:ad:f3,1,298.446067,298.446067,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.118,08:00:27:82:ad:f3,08:00:27:c3:f9:98,3,298.446194,299.446375,1.0001809999999978,2.999457098265221,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:c3:f9:98,1,298.446609,298.446609,0.0,1.0,0,0,0,0,1,0
192.168.1.118,192.168.1.120,08:00:27:c3:f9:98,08:00:27:82:ad:f3,3,298.446801,299.446623,0.9998219999999947,3.000534095068938,3,0,0,0,0,0
192.168.1.120,164.117.32.68,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,298.555419,298.555419,0.0,1.0,1,0,0,0,0,0
0,0,08:00:27:5d:86:c6,08:00:27:82:ad:f3,1,298.59599,298.59599,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.121,08:00:27:82:ad:f3,08:00:27:5d:86:c6,3,298.596216,299.597087,1.000870999999961,2.997389273942513,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:5d:86:c6,1,298.597024,298.597024,0.0,1.0,0,0,0,0,1,0
192.168.1.121,192.168.1.120,08:00:27:5d:86:c6,08:00:27:82:ad:f3,3,298.597279,299.597403,1.0001239999999711,2.999628046122367,3,0,0,0,0,0
192.168.1.120,219.186.219.190,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,298.755941,298.755941,0.0,1.0,1,0,0,0,0,0
192.168.1.120,77.144.79.37,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,298.985726,298.985726,0.0,1.0,1,0,0,0,0,0
0,0,08:00:27:12:45:de,08:00:27:82:ad:f3,1,299.046744,299.046744,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.122,08:00:27:82:ad:f3,08:00:27:12:45:de,3,299.046845,300.047594,1.0007489999999848,2.99775468174342,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:12:45:de,1,299.047303,299.047303,0.0,1.0,0,0,0,0,1,0
192.168.1.122,192.168.1.120,08:00:27:12:45:de,08:00:27:82:ad:f3,3,299.047628,300.047937,1.0003090000000157,2.9990732863544696,3,0,0,0,0,0
0,0,08:00:27:7e:74:80,08:00:27:82:ad:f3,1,299.097268,299.097268,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.123,08:00:27:82:ad:f3,08:00:27:7e:74:80,3,299.097408,300.09735,0.9999420000000327,3.000174010092487,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:7e:74:80,1,299.097811,299.097811,0.0,1.0,0,0,0,0,1,0
192.168.1.123,192.168.1.120,08:00:27:7e:74:80,08:00:27:82:ad:f3,3,299.098013,300.0977,0.9996869999999944,3.0009392939990382,3,0,0,0,0,0
0,0,08:00:27:bc:b9:3d,08:00:27:82:ad:f3,1,299.146484,299.146484,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.124,08:00:27:82:ad:f3,08:00:27:bc:b9:3d,3,299.146547,300.14761,1.0010629999999878,2.996814386307392,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:bc:b9:3d,1,299.146898,299.146898,0.0,1.0,0,0,0,0,1,0
192.168.1.124,192.168.1.120,08:00:27:bc:b9:3d,08:00:27:82:ad:f3,3,299.147048,300.147935,1.0008870000000343,2.9973413582151602,3,0,0,0,0,0
192.168.1.120,213.41.193.221,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,299.156151,299.156151,0.0,1.0,1,0,0,0,0,0
0,0,08:00:27:44:99:65,08:00:27:82:ad:f3,1,299.19693,299.19693,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.125,08:00:27:82:ad:f3,08:00:27:44:99:65,3,299.19703,300.197595,1.0005649999999946,2.998305957134235,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:44:99:65,1,299.19756,299.19756,0.0,1.0,0,0,0,0,1,0
192.168.1.125,192.168.1.120,08:00:27:44:99:65,08:00:27:82:ad:f3,3,299.197731,300.19798,1.0002489999999966,2.999253185956707,3,0,0,0,0,0
0,0,08:00:27:9d:05:4d,08:00:27:82:ad:f3,1,299.347547,299.347547,0.0,1.0,0,0,0,0,1,0
192.168.1.120,192.168.1.126,08:00:27:82:ad:f3,08:00:27:9d:05:4d,3,299.347649,300.348164,1.0005150000000071,2.998455795265417,3,0,0,0,0,0
0,0,08:00:27:82:ad:f3,08:00:27:9d:05:4d,1,299.348186,299.348186,0.0,1.0,0,0,0,0,1,0
192.168.1.126,192.168.1.120,08:00:27:9d:05:4d,08:00:27:82:ad:f3,3,299.348317,300.34847,1.0001530000000116,2.999541070216222,3,0,0,0,0,0
192.168.1.120,79.241.172.75,08:00:27:82:ad:f3,1c:6f:65:c0:43:92,1,299.376821,299.376821,0.0,1.0,1,0,0,0,0,0
0,0,08:00:27:b4:73:3e,08:00:27:82:ad:f3,1,299.397623,299.397623,0.0,1.0,0,0,0,0,1,0
