ip.src,ip.dst,eth.src,eth.dst,Total,First_Time,Last_Time,Time_Interval,Frequency,TCP,UDP,ICMP,othProto,ARP,others
0,0,1c:6f:65:c0:43:92,08:00:27:bd:f2:09,16,7.444906,309.287355,301.842449,0.05300778619113311,0,0,0,0,16,0
0,0,d8:58:d7:00:0f:72,08:00:27:bd:f2:09,41,7.565537,311.719135,304.153598,0.1348003123079938,0,0,0,0,6,35
192.168.1.135,52.169.120.89,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,4,8.31626,8.696422,0.38016200000000033,10.521830167139264,0,4,0,0,0,0
52.169.120.89,192.168.1.135,d8:58:d7:00:0f:72,08:00:27:bd:f2:09,4,8.389513,8.776625,0.38711199999999835,10.33292690487512,0,4,0,0,0,0
0,0,08:00:27:bd:f2:09,d8:58:d7:00:0f:72,29,10.113653,311.719337,301.605684,0.09615203405781968,0,0,0,0,5,24
192.168.1.135,65.55.252.71,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,11,10.520893,130.430632,119.909739,0.09173566794270147,11,0,0,0,0,0
65.55.252.71,192.168.1.135,1c:6f:65:c0:43:92,08:00:27:bd:f2:09,10,10.521009,14.243148,3.7221390000000003,2.68662723235215,10,0,0,0,0,0
192.168.1.135,157.56.120.207,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,9,16.327699,320.304366,303.976667,0.029607535633647826,0,9,0,0,0,0
157.56.120.207,192.168.1.135,d8:58:d7:00:0f:72,08:00:27:bd:f2:09,9,16.361868,320.338293,303.976425,0.029607559204632396,0,9,0,0,0,0
192.168.1.135,157.56.120.208,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,16.362317,16.362317,0.0,1.0,0,1,0,0,0,0
157.56.120.208,192.168.1.135,d8:58:d7:00:0f:72,08:00:27:bd:f2:09,1,16.396385,16.396385,0.0,1.0,0,1,0,0,0,0
0,0,08:00:27:bd:f2:09,08:00:27:e1:e3:8a,1,164.611433,164.611433,0.0,1.0,0,0,0,0,1,0
192.168.1.112,192.168.1.135,08:00:27:e1:e3:8a,08:00:27:bd:f2:09,4109,164.611773,204.667106,40.05533299999999,102.58309424115888,4109,0,0,0,0,0
192.168.1.135,192.168.1.112,08:00:27:bd:f2:09,08:00:27:e1:e3:8a,2772,164.612125,204.666865,40.05474000000001,69.20529255713555,2772,0,0,0,0,0
192.168.1.135,58.228.65.74,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,193.42894,193.42894,0.0,1.0,1,0,0,0,0,0
192.168.1.135,192.168.1.1,08:00:27:bd:f2:09,d8:58:d7:00:0f:72,2,193.47784,194.00158,0.5237400000000036,3.818688662313335,2,0,0,0,0,0
192.168.1.1,192.168.1.135,d8:58:d7:00:0f:72,08:00:27:bd:f2:09,2,193.478153,194.001806,0.5236529999999959,3.8193231013667743,2,0,0,0,0,0
192.168.1.135,192.168.1.2,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,193.491121,193.491121,0.0,1.0,1,0,0,0,0,0
192.168.1.135,100.146.42.12,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,194.522717,194.522717,0.0,1.0,1,0,0,0,0,0
192.168.1.135,98.231.128.6,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,195.424164,195.424164,0.0,1.0,1,0,0,0,0,0
192.168.1.135,140.21.166.152,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,195.624122,195.624122,0.0,1.0,1,0,0,0,0,0
192.168.1.135,106.82.119.148,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,196.525431,196.525431,0.0,1.0,1,0,0,0,0,0
192.168.1.135,52.252.33.187,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,196.725757,196.725757,0.0,1.0,1,0,0,0,0,0
192.168.1.135,38.229.72.16,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,31,196.900878,212.115063,15.214184999999986,2.0375721735998367,31,0,0,0,0,0
38.229.72.16,192.168.1.135,1c:6f:65:c0:43:92,08:00:27:bd:f2:09,31,196.901025,212.105596,15.204570999999987,2.038860550554174,31,0,0,0,0,0
192.168.1.135,162.209.105.191,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,197.427257,197.427257,0.0,1.0,1,0,0,0,0,0
192.168.1.135,214.115.232.138,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,197.626611,197.626611,0.0,1.0,1,0,0,0,0,0
192.168.1.135,154.166.231.80,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,197.827838,197.827838,0.0,1.0,1,0,0,0,0,0
192.168.1.135,182.224.39.253,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,198.528449,198.528449,0.0,1.0,1,0,0,0,0,0
192.168.1.135,176.245.249.207,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,198.728604,198.728604,0.0,1.0,1,0,0,0,0,0
192.168.1.135,219.244.72.220,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,198.928448,198.928448,0.0,1.0,1,0,0,0,0,0
192.168.1.135,115.84.174.237,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,199.429892,199.429892,0.0,1.0,1,0,0,0,0,0
192.168.1.135,11.32.149.241,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,199.629688,199.629688,0.0,1.0,1,0,0,0,0,0
192.168.1.135,147.223.182.219,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,199.829771,199.829771,0.0,1.0,1,0,0,0,0,0
192.168.1.135,30.54.186.119,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,200.030062,200.030062,0.0,1.0,1,0,0,0,0,0
192.168.1.135,159.173.75.183,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,200.550963,200.550963,0.0,1.0,1,0,0,0,0,0
192.168.1.135,111.111.130.127,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,200.751341,200.751341,0.0,1.0,1,0,0,0,0,0
192.168.1.135,71.43.32.189,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,200.951866,200.951866,0.0,1.0,1,0,0,0,0,0
192.168.1.135,141.67.96.90,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,201.151844,201.151844,0.0,1.0,1,0,0,0,0,0
192.168.1.135,166.240.230.125,08:00:27:bd:f2:09,1c:6f:65:c0:43:92,1,201.452705,201.452705,0.0,1.0,1,0,0,0,0,0
