ip.src,ip.dst,eth.src,eth.dst,Total,First_Time,Last_Time,Time_Interval,Frequency,TCP,UDP,ICMP,othProto,ARP,others
0,0,1c:6f:65:c0:43:92,08:00:27:7e:74:80,140,7.402191,3672.131407,3664.7292159999997,0.03820200395400783,0,0,0,0,140,0
0,0,d8:58:d7:00:0f:72,08:00:27:7e:74:80,127,7.458954,3671.955242,3664.496288,0.034656877785872654,0,0,0,0,80,47
192.168.1.123,8.8.8.8,08:00:27:7e:74:80,1c:6f:65:c0:43:92,2,9.83236,9.834255,0.0018950000000010903,1055.408970975646,0,2,0,0,0,0
0,0,08:00:27:7e:74:80,d8:58:d7:00:0f:72,78,9.833813,3671.955042,3662.121229,0.021299131056155433,0,0,0,0,70,8
8.8.8.8,192.168.1.123,d8:58:d7:00:0f:72,08:00:27:7e:74:80,2,9.833912,9.835336,0.0014240000000000919,1404.4943820223814,0,2,0,0,0,0
192.168.1.123,91.219.236.222,08:00:27:7e:74:80,1c:6f:65:c0:43:92,3,350.108963,351.110666,1.0017029999999636,2.994899685835132,3,0,0,0,0,0
91.219.236.222,192.168.1.123,1c:6f:65:c0:43:92,08:00:27:7e:74:80,3,350.109088,351.110783,1.0016950000000406,2.994923604490267,3,0,0,0,0,0
192.168.1.123,193.23.244.244,08:00:27:7e:74:80,1c:6f:65:c0:43:92,3,350.10938,351.110796,1.001416000000006,2.9957580066625478,3,0,0,0,0,0
193.23.244.244,192.168.1.123,1c:6f:65:c0:43:92,08:00:27:7e:74:80,3,350.1095,351.110891,1.0013909999999555,2.9958327965800904,3,0,0,0,0,0
192.168.1.123,185.13.39.197,08:00:27:7e:74:80,1c:6f:65:c0:43:92,3,350.970901,351.97135,1.0004489999999464,2.998653604531726,3,0,0,0,0,0
185.13.39.197,192.168.1.123,1c:6f:65:c0:43:92,08:00:27:7e:74:80,3,350.97104,351.97143,1.0003899999999817,2.9988304561221675,3,0,0,0,0,0
192.168.1.123,171.25.193.131,08:00:27:7e:74:80,1c:6f:65:c0:43:92,6,354.976202,356.978513,2.00231100000002,2.9965375009176594,6,0,0,0,0,0
171.25.193.131,192.168.1.123,1c:6f:65:c0:43:92,08:00:27:7e:74:80,6,354.976338,356.97867,2.002332000000024,2.996506073917776,6,0,0,0,0,0
192.168.1.123,128.31.0.39,08:00:27:7e:74:80,1c:6f:65:c0:43:92,6,355.978202,617.828792,261.85059,0.022913830364101908,6,0,0,0,0,0
128.31.0.39,192.168.1.123,d8:58:d7:00:0f:72,08:00:27:7e:74:80,508,356.087848,617.938393,261.850545,1.9400379708967188,508,0,0,0,0,0
192.168.1.2,192.168.1.123,1c:6f:65:c0:43:92,08:00:27:7e:74:80,67,356.088041,3667.12089,3311.032849,0.020235377616454445,0,0,67,0,0,0
192.168.1.123,128.31.0.39,08:00:27:7e:74:80,d8:58:d7:00:0f:72,159,356.131318,358.761406,2.6300880000000006,60.454250960424126,159,0,0,0,0,0
192.168.1.123,212.51.147.237,08:00:27:7e:74:80,1c:6f:65:c0:43:92,100,358.814928,3667.120811,3308.305883,0.030226951054876203,100,0,0,0,0,0
192.168.1.123,94.23.173.93,08:00:27:7e:74:80,1c:6f:65:c0:43:92,3,358.815203,359.822652,1.0074490000000083,2.977818231989883,3,0,0,0,0,0
94.23.173.93,192.168.1.123,1c:6f:65:c0:43:92,08:00:27:7e:74:80,3,358.81529,359.82279,1.0074999999999932,2.977667493796546,3,0,0,0,0,0
192.168.1.123,213.254.32.26,08:00:27:7e:74:80,1c:6f:65:c0:43:92,198,358.815521,2380.188725,2021.373204,0.09795321299806842,198,0,0,0,0,0
213.254.32.26,192.168.1.123,d8:58:d7:00:0f:72,08:00:27:7e:74:80,1021,358.845842,2380.219381,2021.373539,0.5051020903860759,1021,0,0,0,0,0
212.51.147.237,192.168.1.123,d8:58:d7:00:0f:72,08:00:27:7e:74:80,893,358.84802,3667.296258,3308.448238,0.26991505858947035,893,0,0,0,0,0
192.168.1.123,212.51.147.237,08:00:27:7e:74:80,d8:58:d7:00:0f:72,447,359.14002,3667.498589,3308.358569,0.13511231950142344,447,0,0,0,0,0
192.168.1.123,213.254.32.26,08:00:27:7e:74:80,d8:58:d7:00:0f:72,352,359.79037,2380.189004,2020.398634,0.17422304394608892,352,0,0,0,0,0
0,0,08:00:27:7e:74:80,1c:6f:65:c0:43:92,62,391.448516,3672.131596,3280.6830800000002,0.018898503295844107,0,0,0,0,62,0
